gene_symbol	uniprot_acc	papers_found	papers_selected	evidence_grade	tier
CXCR2	P25025	310	43	direct_multi_method	canonical
CXCR3	P49682	329	35	direct_multi_method	canonical
CXCR4	P61073	337	35	direct_multi_method	canonical
CXCR5	P32302	334	31	direct_multi_method	canonical
CXCR6	O00574	287	41	direct_multi_method	canonical
CXorf66	Q5JRM2	36	1	weak	low
CYB561	P49447	156	14	weak	low
CYB561D1	Q8N8Q1	87	2	weak	no
CYB5D2	Q8WUJ1	140	3	weak	no
CYB5R3	P00387	235	12	weak	no
CYBA	P13498	266	20	direct_single_method	likely
CYBB	P04839	302	28	direct_multi_method	canonical
CYBRD1	Q53TN4	208	20	direct_multi_method	canonical
CYP19A1	P11511	353	20	weak	no
CYP2D6	P10635	337	2	weak	no
CYP2E1	P05181	328	12	weak	no
CYP2W1	Q8TAV3	154	3	direct_single_method	low
CYP46A1	Q9Y6A2	234	10	weak	no
CYP4Z1	Q86W10	136	2	conflicting	low
CYSLTR1	Q9Y271	240	33	direct_multi_method	canonical
CYSLTR2	Q9NS75	234	26	direct_multi_method	canonical
CYSRT1	A8MQ03	80	1	weak	no
CYSTM1	Q9H1C7	141	3	weak	low
CYTH1	Q15438	218	14	weak	no
CYTL1	Q9NRR1	312	1	weak	low
CYYR1	Q96J86	135	4	weak	no
DAG1	Q14118	331	24	supportive_but_indirect	canonical
DAGLA	Q9Y4D2	230	18	direct_multi_method	canonical
DAGLB	Q8NCG7	188	12	weak	no
DAO	P14920	307	4	weak	no
DAPP1	Q9UN19	173	7	weak	no
DARS2	Q6PI48	217	2	weak	no
DBH	P09172	289	6	weak	no
DBI	P07108	320	9	weak	no
DBNL	Q9UJU6	248	4	weak	no
DCBLD1	Q8N8Z6	151	6	supportive_but_indirect	canonical
DCBLD2	Q96PD2	218	20	direct_multi_method	canonical
DCC	P43146	313	19	direct_single_method	canonical
DCD	P81605	301	7	weak	low
DCHS1	Q96JQ0	231	15	supportive_but_indirect	canonical
DCHS2	Q6V1P9	169	7	supportive_but_indirect	canonical
DCLK1	O15075	265	13	direct_single_method	likely
DCST1	Q5T197	159	5	supportive_but_indirect	likely
DCST2	Q5T1A1	75	6	supportive_but_indirect	likely
DCSTAMP	Q9H295	326	22	direct_multi_method	canonical
DCT	P40126	321	19	supportive_but_indirect	likely
DCXR	Q7Z4W1	346	0	weak	low
DDR1	Q08345	328	29	direct_multi_method	canonical
DDR2	Q16832	291	35	direct_multi_method	canonical
DDT	P30046	316	9	weak	no
DDTL	A6NHG4	86	0	weak	no
DEFA1	P59665	339	4	weak	no
DEFA1B	P59665	332	5	weak	no
DEFA3	P59666	248	10	weak	no
DEFA6	Q01524	228	12	weak	no
DEFB103B	P81534	236	24	supportive_but_indirect	likely
DEFB104A	Q8WTQ1	243	19	weak	no
DEFB105A	Q8NG35	201	5	weak	no
DEFB105B	Q8NG35	196	3	weak	no
DEFB106B	Q8N104	174	5	weak	low
DEFB107B	Q8IZN7	83	2	weak	no
DEFB108B	Q8NET1	73	3	weak	no
DEFB109B	Q30KR1	115	11	weak	no
DEFB112	Q30KQ8	141	2	weak	low
DEFB113	Q30KQ7	40	4	weak	low
DEFB114	Q30KQ6	134	5	weak	no
DEFB115	Q30KQ5	49	4	weak	low
DEFB116	Q30KQ4	41	3	weak	no
DEFB118	Q96PH6	101	4	direct_single_method	likely
DEFB119	Q8N690	110	6	weak	no
DEFB121	Q5J5C9	58	4	weak	no
DEFB124	Q8NES8	64	5	weak	no
DEFB126	Q9BYW3	144	13	direct_multi_method	likely
DEFB130B	P0DP73	7	1	weak	no
DEFB131B	A0A096LNP1	7	0	weak	no
DEFB132	Q7Z7B7	115	2	supportive_but_indirect	likely
DEK	P35659	258	4	weak	no
DGCR2	P98153	339	7	direct_single_method	likely
DHH	O43323	256	14	supportive_but_indirect	likely
DHRS7B	Q6IAN0	141	4	weak	no
DHRSX	Q8N5I4	114	2	weak	no
DIO1	P49895	316	9	weak	low
DIO3	P55073	333	11	supportive_but_indirect	low
DIP2A	Q14689	208	10	direct_single_method	canonical
DIPK2A	Q8NDZ4	232	6	weak	no
DIPK2B	Q9H7Y0	132	4	weak	no
DIRAS3	O95661	187	4	weak	no
DISP1	Q96F81	161	10	direct_single_method	canonical
DISP2	A7MBM2	111	3	direct_single_method	likely
DISP3	Q9P2K9	149	3	weak	no
DKKL1	Q9UK85	194	9	weak	no
DLEU7	Q6UYE1	133	0	weak	no
DLG1	Q12959	265	20	weak	no
DLG2	Q15700	241	6	weak	no
DLG4	P78352	296	24	weak	no
DLK1	P80370	271	28	direct_multi_method	canonical
DLK2	Q6UY11	172	13	supportive_but_indirect	likely
DLL1	O00548	349	13	direct_multi_method	canonical
DLL3	Q9NYJ7	281	34	direct_multi_method	likely
DLL4	Q9NR61	272	31	direct_multi_method	canonical
DMBT1	Q9UGM3	328	11	supportive_but_indirect	canonical
DMKN	Q6E0U4	337	2	weak	low
DMP1	Q13316	277	15	weak	no
DMPK	Q09013	319	1	weak	no
DNAJC1	Q96KC8	173	2	weak	no
DNAJC22	Q8N4W6	222	2	weak	low
DNAJC5	Q9H3Z4	287	13	weak	low
DNAJC9	Q8WXX5	163	1	weak	low
DNASE1L2	Q92874	218	7	weak	low
DNASE1L3	Q13609	345	8	weak	no
DNASE2B	Q8WZ79	250	2	weak	no
DNER	Q8NFT8	361	9	direct_single_method	likely
DOCK8	Q8NF50	278	10	weak	low
DPCD	Q9BVM2	174	2	weak	no
DPEP1	P16444	304	17	direct_multi_method	canonical
DPEP2	Q9H4A9	244	1	supportive_but_indirect	likely
DPEP3	Q9H4B8	243	4	direct_multi_method	likely
DPP10	Q8N608	220	17	direct_single_method	canonical
DPP4	P27487	287	39	direct_multi_method	canonical
DPP6	P42658	265	18	direct_multi_method	likely
DPP7	Q9UHL4	381	4	weak	no
DPP9	Q86TI2	222	10	weak	no
DRAM1	Q8N682	233	15	weak	low
DRAM2	Q6UX65	203	5	supportive_but_indirect	likely
DRAXIN	Q8NBI3	281	4	weak	no
DRD1	P21728	294	29	direct_single_method	canonical
DRD2	P14416	297	33	direct_multi_method	canonical
DRD3	P35462	247	20	direct_multi_method	canonical
DRD4	P21917	270	19	direct_multi_method	canonical
DRD5	P21918	255	23	direct_multi_method	canonical
DSC1	Q08554	244	26	direct_multi_method	likely
DSC2	Q02487	275	21	direct_multi_method	canonical
DSC3	Q14574	301	20	direct_multi_method	likely
DSCAM	O60469	256	19	direct_multi_method	canonical
DSCAML1	Q8TD84	187	18	supportive_but_indirect	likely
DSG1	Q02413	300	27	direct_multi_method	canonical
DSG2	Q14126	246	38	direct_multi_method	canonical
DSG3	P32926	332	27	direct_multi_method	likely
DSG4	Q86SJ6	243	13	weak	low
DSP	P15924	355	6	weak	no
DSTYK	Q6XUX3	184	3	weak	no
DUOX1	Q9NRD9	240	23	direct_single_method	canonical
DUOX2	Q9NRD8	261	23	direct_multi_method	canonical
DUOXA1	Q1HG43	370	5	weak	low
DUOXA2	Q1HG44	173	23	supportive_but_indirect	likely
DUT	P33316	277	3	weak	no
DVL1	O14640	250	15	weak	no
DYNAP	Q8N1N2	101	5	supportive_but_indirect	canonical
DYSF	O75923	256	21	direct_single_method	likely
EBAG9	O00559	192	13	direct_single_method	canonical
ECE1	P42892	296	12	direct_single_method	canonical
ECE2	P0DPD6	184	12	weak	low
ECEL1	O95672	258	3	weak	low
ECM2	O94769	216	6	weak	low
ECRG4	Q9H1Z8	194	12	direct_multi_method	canonical
ECSCR	Q19T08	305	2	direct_single_method	likely
EDA	Q92838	303	15	weak	likely
EDA2R	Q9HAV5	204	20	supportive_but_indirect	canonical
EDAR	Q9UNE0	336	9	supportive_but_indirect	likely
EDDM13	A0A1B0GTR0	10	0	weak	low
EDDM3A	Q14507	206	3	weak	low
EDDM3B	P56851	172	3	weak	low
EDIL3	O43854	256	26	supportive_but_indirect	canonical
EDNRA	P25101	394	24	direct_multi_method	canonical
EDNRB	P24530	299	27	direct_multi_method	canonical
EEF1A1	P68104	325	9	weak	no
EEF1AKMT4-ECE2	P0DPD8	70	1	weak	no
EEPD1	Q7L9B9	156	4	supportive_but_indirect	no
EFCAB7	A8K855	111	2	weak	no
EFNA1	P20827	254	23	supportive_but_indirect	canonical
EFNA2	O43921	247	0	weak	likely
EFNA3	P52797	276	27	direct_multi_method	canonical
EFNA4	P52798	205	23	direct_multi_method	canonical
EFNA5	P52803	274	16	weak	canonical
EFNB1	P98172	242	33	direct_multi_method	canonical
EFNB2	P52799	238	35	direct_multi_method	canonical
EFNB3	Q15768	213	29	direct_multi_method	canonical
EGF	P01133	348	23	supportive_but_indirect	low
EGFL6	Q8IUX8	231	15	weak	likely
EGFL7	Q9UHF1	275	20	weak	no
EGFL8	Q99944	204	4	weak	no
EGFLAM	Q63HQ2	228	6	supportive_but_indirect	likely
EGFR	P00533	365	38	direct_multi_method	canonical
EHBP1L1	Q8N3D4	160	6	weak	no
EHD1	Q9H4M9	372	11	weak	no
EHD2	Q9NZN4	207	20	weak	no
EHD3	Q9NZN3	210	12	weak	no
EIF3A	Q14152	296	1	weak	no
EIF4A1	P60842	280	13	weak	no
ELANE	P08246	342	5	weak	low
ELAPOR1	Q6UXG2	142	10	direct_single_method	likely
ELAPOR2	A8MWY0	107	2	weak	low
ELAVL1	Q15717	360	8	weak	no
ELFN1	P0C7U0	189	18	direct_multi_method	likely
ELFN2	Q5R3F8	159	10	direct_single_method	likely
ELSPBP1	Q96BH3	336	1	weak	low
EMB	Q6PCB8	285	14	supportive_but_indirect	canonical
EMC10	Q5UCC4	157	14	weak	no
EMCN	Q9ULC0	248	28	direct_multi_method	likely
EMID1	Q96A84	157	3	weak	low
EMILIN1	Q9Y6C2	275	8	weak	no
EMP1	P54849	315	13	direct_single_method	canonical
EMP2	P54851	228	26	direct_multi_method	canonical
EMP3	P54852	196	16	direct_multi_method	canonical
EN1	Q05925	268	1	weak	no
ENDOD1	O94919	170	1	weak	no
ENDOU	P21128	316	0	weak	uncertain
ENG	P17813	376	13	direct_multi_method	canonical
ENHO	Q6UWT2	196	7	weak	no
ENO1	P06733	306	21	direct_multi_method	likely
ENOX1	Q8TC92	172	8	direct_multi_method	canonical
ENOX2	Q16206	182	25	direct_multi_method	canonical
ENPEP	Q07075	300	11	supportive_but_indirect	canonical
ENPP1	P22413	270	23	direct_multi_method	canonical
ENPP2	Q13822	272	29	supportive_but_indirect	likely
ENPP3	O14638	290	15	direct_multi_method	canonical
ENPP4	Q9Y6X5	166	8	direct_multi_method	canonical
ENPP5	Q9UJA9	188	5	supportive_but_indirect	canonical
ENPP6	Q6UWR7	211	3	weak	likely
ENPP7	Q6UWV6	214	11	direct_multi_method	likely
ENTPD1	P49961	302	38	direct_multi_method	canonical
ENTPD2	Q9Y5L3	236	22	direct_multi_method	canonical
ENTPD3	O75355	212	29	direct_multi_method	canonical
ENTPD5	O75356	239	12	weak	no
ENTPD6	O75354	167	12	direct_single_method	low
ENTPD8	Q5MY95	208	11	direct_multi_method	canonical
ENTREP1	Q15884	126	2	weak	low
ENTREP3	P81408	107	2	weak	no
EPB41	P11171	365	15	weak	no
EPB41L3	Q9Y2J2	242	11	weak	no
EPCAM	P16422	331	20	direct_multi_method	canonical
EPDR1	Q9UM22	181	11	weak	no
EPGN	Q6UW88	250	9	direct_single_method	canonical
EPHA1	P21709	253	18	direct_multi_method	canonical
EPHA10	Q5JZY3	164	17	direct_multi_method	canonical
EPHA2	P29317	286	44	direct_multi_method	canonical
EPHA3	P29320	353	6	direct_multi_method	canonical
EPHA4	P54764	266	24	direct_multi_method	canonical
EPHA5	P54756	227	16	direct_multi_method	canonical
EPHA6	Q9UF33	211	12	direct_single_method	canonical
EPHA7	Q15375	230	26	direct_multi_method	canonical
EPHA8	P29322	235	11	direct_multi_method	canonical
EPHB1	P54762	333	3	supportive_but_indirect	likely
EPHB2	P29323	352	17	direct_multi_method	canonical
EPHB3	P54753	223	24	direct_multi_method	canonical
EPHB4	P54760	264	32	direct_multi_method	canonical
EPHB6	O15197	340	7	direct_multi_method	canonical
EPHX1	P07099	283	2	weak	no
EPHX3	Q9H6B9	165	1	weak	no
EPM2A	O95278	324	0	weak	no
EPOR	P19235	252	29	direct_multi_method	canonical
EPPIN	O95925	219	18	direct_multi_method	likely
EPS8	Q12929	237	19	supportive_but_indirect	likely
EPS8L1	Q8TE68	186	5	weak	no
EPS8L3	Q8TE67	138	3	weak	no
EQTN	Q9NQ60	207	7	supportive_but_indirect	likely
ERAP2	Q6P179	229	14	weak	low
ERBB2	P04626	345	39	direct_multi_method	canonical
ERBB3	P21860	279	34	direct_multi_method	canonical
ERBB4	Q15303	288	31	direct_multi_method	canonical
ERBIN	Q96RT1	243	11	weak	no
ERC1	Q8IUD2	231	14	weak	no
EREG	O14944	360	5	weak	low
ERFE	Q4G0M1	215	21	weak	no
ERLIN2	O94905	190	15	weak	no
ERMAP	Q96PL5	302	13	direct_multi_method	likely
ERO1A	Q96HE7	204	19	weak	no
ERV3-1	Q14264	193	11	direct_multi_method	canonical
ERVFRD-1	P60508	169	23	direct_single_method	likely
ERVH48-1	M5A8F1	112	10	weak	no
ERVMER34-1	Q9H9K5	220	4	supportive_but_indirect	likely
ERVV-1	B6SEH8	79	7	supportive_but_indirect	likely
ERVV-2	B6SEH9	73	13	weak	likely
ERVW-1	Q9UQF0	232	23	direct_multi_method	likely
ESAM	Q96AP7	294	18	direct_multi_method	canonical
ESYT2	A0FGR8	172	16	weak	no
ESYT3	A0FGR9	146	16	weak	no
EVA1A	Q9H8M9	170	9	weak	no
EVA1B	Q9NVM1	91	2	weak	low
EVA1C	P58658	290	3	weak	low
EVC	P57679	227	3	weak	no
EVC2	Q86UK5	262	2	weak	low
EVI2A	P22794	181	4	direct_single_method	likely
EVI2B	P34910	165	11	direct_multi_method	canonical
EXOC3L1	Q86VI1	125	2	weak	no
EZR	P15311	330	17	weak	no
F11R	Q9Y624	270	41	direct_multi_method	canonical
F2	P00734	381	3	weak	no
F2R	P25116	303	32	direct_multi_method	canonical
F2RL1	P55085	258	39	direct_multi_method	canonical
F2RL2	O00254	265	19	direct_multi_method	canonical
F2RL3	Q96RI0	246	29	direct_multi_method	canonical
F3	P13726	352	17	direct_multi_method	canonical
FABP4	P15090	322	9	supportive_but_indirect	likely
FAIM2	Q9BWQ8	231	12	supportive_but_indirect	low
FAM149A	A5PLN7	88	0	weak	no
FAM151A	Q8WW52	101	2	weak	low
FAM151B	Q6UXP7	67	2	weak	low
FAM153A	Q9UHL3	69	0	weak	no
FAM163A	Q96GL9	133	1	weak	low
FAM163B	P0C2L3	70	1	weak	low
FAM168B	A1KXE4	261	2	weak	low
FAM171A1	Q5VUB5	149	3	weak	canonical
FAM171A2	A8MVW0	100	2	supportive_but_indirect	likely
FAM171B	Q6P995	125	0	weak	low
FAM174A	Q8TBP5	80	2	weak	low
FAM174B	Q3ZCQ3	93	3	supportive_but_indirect	likely
FAM174C	Q9BVV8	51	1	weak	uncertain
FAM180A	Q6UWF9	91	0	weak	no
FAM180B	Q6P0A1	71	0	weak	low
FAM186A	A6NE01	69	0	weak	no
FAM187A	A6NFU0	59	0	weak	low
FAM187B	Q17R55	41	0	weak	low
FAM193A	P78312	101	1	weak	no
FAM209A	Q5JX71	45	2	weak	no
FAM209B	Q5JX69	43	1	weak	no
FAM20A	Q96MK3	198	7	weak	no
FAM222A	Q5U5X8	100	1	weak	no
FAM234A	Q9H0X4	130	5	supportive_but_indirect	low
FAM237B	A0A1B0GVD1	48	5	weak	no
FAM24A	A6NFZ4	61	0	weak	low
FAM24B	Q8N5W8	57	0	weak	low
FAM3A	P98173	343	1	weak	no
FAM3B	P58499	337	3	weak	no
FAM3C	Q92520	240	21	weak	no
FAM3D	Q96BQ1	188	7	weak	no
FAM53A	Q6NSI3	80	0	weak	no
FAM72C	H0Y354	64	0	weak	no
FAM78A	Q5JUQ0	91	0	weak	no
FAP	Q12884	338	32	direct_multi_method	canonical
FAS	P25445	339	25	direct_multi_method	canonical
FASLG	P48023	319	34	direct_multi_method	canonical
FASN	P49327	318	16	weak	no
FAT1	Q14517	295	13	direct_multi_method	canonical
FAT2	Q9NYQ8	225	15	supportive_but_indirect	canonical
FAT3	Q8TDW7	250	13	direct_single_method	likely
FAT4	Q6V0I7	222	20	direct_single_method	canonical
FBLN7	Q53RD9	196	12	supportive_but_indirect	canonical
FBRSL1	Q9HCM7	140	1	weak	no
FCAMR	Q8WWV6	153	13	direct_multi_method	canonical
FCAR	P24071	279	29	direct_multi_method	canonical
FCER1A	P12319	292	18	direct_multi_method	canonical
FCER1G	P30273	282	19	weak	no
FCER2	P06734	295	24	direct_multi_method	canonical
FCGBP	Q9Y6R7	238	13	weak	no
FCGR1A	P12314	314	29	direct_multi_method	canonical
FCGR2A	P12318	300	30	direct_multi_method	canonical
FCGR2B	P31994	295	30	direct_multi_method	canonical
FCGR2C	P31995	323	13	direct_multi_method	canonical
FCGR3A	P08637	318	34	direct_multi_method	canonical
FCGR3B	O75015	346	21	direct_multi_method	canonical
FCGRT	P55899	333	24	direct_multi_method	likely
FCMR	O60667	240	17	direct_multi_method	canonical
FCN1	O00602	277	10	weak	low
FCN2	Q15485	284	7	weak	no
FCN3	O75636	217	17	weak	no
FCRL1	Q96LA6	169	23	direct_multi_method	canonical
FCRL2	Q96LA5	182	14	direct_multi_method	canonical
FCRL3	Q96P31	251	14	direct_multi_method	canonical
FCRL4	Q96PJ5	194	30	direct_multi_method	likely
FCRL5	Q96RD9	210	36	direct_multi_method	canonical
FCRL6	Q6DN72	157	8	direct_multi_method	likely
FCRLA	Q7L513	198	14	weak	no
FCRLB	Q6BAA4	179	9	weak	no
FER1L5	A0AVI2	93	8	supportive_but_indirect	low
FER1L6	Q2WGJ9	109	5	supportive_but_indirect	low
FERMT2	Q96AC1	237	22	weak	no
FEZ1	Q99689	199	2	weak	no
FFAR1	O14842	257	27	direct_multi_method	canonical
FFAR2	O15552	262	24	direct_multi_method	canonical
FFAR3	O14843	269	22	supportive_but_indirect	canonical
FFAR4	Q5NUL3	264	34	direct_multi_method	canonical
FGA	P02671	338	8	weak	no
FGB	P02675	317	10	weak	no
FGF2	P09038	344	18	supportive_but_indirect	likely
FGF3	P11487	272	5	weak	no
FGF4	P08620	308	5	weak	low
FGF8	P55075	289	16	weak	no
FGF9	P31371	304	15	weak	low
FGFBP1	Q14512	203	26	weak	no
FGFR1	P11362	357	11	direct_single_method	canonical
FGFR2	P21802	346	23	direct_multi_method	canonical
FGFR3	P22607	333	22	direct_multi_method	canonical
FGFR4	P22455	272	28	direct_multi_method	canonical
FGFRL1	Q8N441	276	17	direct_multi_method	canonical
FGL1	Q08830	261	24	weak	no
FGL2	Q14314	262	24	supportive_but_indirect	canonical
FGR	P09769	283	6	weak	no
FIBCD1	Q8N539	198	12	direct_multi_method	canonical
FIBIN	Q8TAL6	150	2	weak	no
FKBP8	Q14318	216	22	conflicting	low
FKBPL	Q9UIM3	272	13	conflicting	low
FKRP	Q9H9S5	212	17	weak	no
FLACC1	Q96Q35	125	1	weak	no
FLII	Q13045	311	1	weak	no
FLOT1	O75955	291	21	weak	no
FLOT2	Q14254	299	14	weak	no
FLRT1	Q9NZU1	174	15	direct_multi_method	canonical
FLRT2	O43155	210	25	direct_multi_method	canonical
FLRT3	Q9NZU0	218	21	direct_multi_method	canonical
FLT1	P17948	283	31	direct_multi_method	canonical
FLT3	P36888	340	14	direct_multi_method	canonical
FLT3LG	P49771	373	6	direct_single_method	canonical
FLT4	P35916	283	31	direct_multi_method	canonical
FLVCR1	Q9Y5Y0	342	4	direct_multi_method	canonical
FLVCR2	Q9UPI3	315	9	direct_single_method	likely
FMOD	Q06828	366	2	weak	no
FMR1NB	Q8N0W7	122	2	direct_single_method	likely
FN1	P02751	362	20	supportive_but_indirect	canonical
FNDC1	Q4ZHG4	206	7	supportive_but_indirect	likely
FNDC10	F2Z333	41	0	weak	low
FNDC11	Q9BVV2	56	0	weak	no
FNDC4	Q9H6D8	146	9	supportive_but_indirect	likely
FNDC5	Q8NAU1	270	25	weak	low
FNDC7	Q5VTL7	53	0	weak	uncertain
FNDC9	Q8TBE3	56	0	weak	low
FOLH1	Q04609	306	36	direct_multi_method	canonical
FOLR1	P15328	297	38	direct_multi_method	canonical
FOLR2	P14207	305	29	direct_multi_method	canonical
FOLR3	P41439	233	7	conflicting	low
FOXR2	Q6PJQ5	164	0	weak	no
FPR1	P21462	268	32	direct_multi_method	canonical
FPR2	P25090	277	35	direct_multi_method	canonical
FPR3	P25089	216	28	direct_multi_method	canonical
FRAS1	Q86XX4	325	9	weak	low
FREM2	Q5SZK8	205	12	direct_single_method	likely
FREM3	P0C091	120	4	weak	no
FREY1	C9JXX5	263	0	weak	low
FRMD3	A2A2Y4	185	5	supportive_but_indirect	likely
FRMD7	Q6ZUT3	241	2	weak	no
FRMPD2	Q68DX3	92	3	weak	no
FRRS1L	Q9P0K9	188	5	conflicting	low
FSD1L	Q9BXM9	246	1	weak	no
FSHR	P23945	282	29	direct_multi_method	likely
FST	P19883	362	6	weak	likely
FSTL1	Q12841	295	18	direct_single_method	canonical
FSTL4	Q6MZW2	168	1	weak	low
FSTL5	Q8N475	160	2	weak	no
FTL	P02792	302	13	supportive_but_indirect	low
FUCA2	Q9BTY2	168	7	direct_single_method	likely
FURIN	P09958	346	17	direct_single_method	likely
FUT2	Q10981	334	9	weak	likely
FUT3	P21217	344	9	weak	no
FUT4	P22083	316	14	weak	no
FXYD1	O00168	255	17	direct_single_method	canonical
FXYD2	P54710	213	19	direct_multi_method	likely
FXYD3	Q14802	218	20	direct_multi_method	canonical
FXYD4	P59646	166	11	supportive_but_indirect	likely
FXYD5	Q96DB9	268	20	direct_multi_method	canonical
FXYD6	Q9H0Q3	174	8	direct_multi_method	canonical
FXYD7	P58549	129	7	supportive_but_indirect	likely
FZD1	Q9UP38	233	25	direct_multi_method	canonical
FZD10	Q9ULW2	214	25	direct_multi_method	canonical
FZD2	Q14332	237	32	direct_multi_method	canonical
FZD3	Q9NPG1	231	23	direct_multi_method	canonical
FZD4	Q9ULV1	316	24	direct_multi_method	canonical
FZD5	Q13467	236	31	direct_multi_method	canonical
FZD6	O60353	225	31	direct_multi_method	canonical
FZD7	O75084	246	34	direct_multi_method	canonical
FZD8	Q9H461	227	36	direct_multi_method	canonical
FZD9	O00144	227	21	direct_multi_method	canonical
G6PC1	P35575	249	8	weak	low
GAA	P10253	319	6	weak	no
GABBR1	Q9UBS5	268	23	direct_multi_method	canonical
GABBR2	O75899	225	27	direct_multi_method	canonical
GABRA1	P14867	262	26	direct_multi_method	canonical
GABRA2	P47869	236	21	direct_multi_method	canonical
GABRA3	P34903	228	19	direct_multi_method	canonical
GABRA4	P48169	222	17	direct_multi_method	canonical
GABRA5	P31644	233	27	direct_multi_method	canonical
GABRA6	Q16445	223	13	direct_multi_method	canonical
GABRB1	P18505	209	22	supportive_but_indirect	canonical
GABRB2	P47870	213	19	direct_multi_method	canonical
GABRB3	P28472	250	24	direct_multi_method	canonical
GABRD	O14764	224	22	direct_multi_method	canonical
GABRE	P78334	223	13	supportive_but_indirect	canonical
GABRG1	Q8N1C3	271	11	direct_single_method	canonical
GABRG2	P18507	262	28	direct_multi_method	canonical
GABRG3	Q99928	196	18	direct_multi_method	canonical
GABRP	O00591	183	13	direct_multi_method	canonical
GABRQ	Q9UN88	311	6	supportive_but_indirect	likely
GABRR1	P24046	188	16	direct_multi_method	canonical
GABRR2	P28476	172	11	direct_multi_method	canonical
GABRR3	A8MPY1	243	4	weak	likely
GALR1	P47211	258	23	direct_multi_method	canonical
GALR2	O43603	238	27	direct_multi_method	canonical
GALR3	O60755	177	22	direct_multi_method	canonical
GAP43	P17677	341	11	weak	no
GAPDH	P04406	389	0	weak	no
GAPT	Q8N292	304	0	weak	low
GAPVD1	Q14C86	178	10	weak	no
GARS1	P41250	288	3	weak	low
GAS1	P54826	239	25	direct_multi_method	canonical
GBA1	P04062	284	13	weak	no
GBA2	Q9HCG7	317	3	weak	no
GC	P02774	369	3	weak	low
GCGR	P47871	265	22	direct_single_method	canonical
GCSAM	Q8N6F7	230	7	weak	no
GDAP2	Q9NXN4	125	0	weak	low
GDE1	Q9NZC3	279	5	weak	low
GDPD2	Q9HCC8	164	10	direct_multi_method	canonical
GDPD4	Q6W3E5	96	3	direct_single_method	likely
GDPD5	Q8WTR4	158	17	direct_multi_method	canonical
GFOD1	Q9NXC2	137	0	weak	no
GFOD2	Q3B7J2	86	0	weak	no
GFRA1	P56159	261	28	direct_multi_method	canonical
GFRA2	O00451	227	24	direct_multi_method	canonical
GFRA3	O60609	200	22	direct_multi_method	canonical
GFRA4	Q9GZZ7	244	10	direct_multi_method	likely
GFRAL	Q6UXV0	209	29	direct_multi_method	likely
GFY	I3L273	129	3	weak	no
GGT1	P19440	349	4	supportive_but_indirect	canonical
GGT5	P36269	231	9	supportive_but_indirect	canonical
GGT6	Q6P531	152	5	supportive_but_indirect	likely
GGT7	Q9UJ14	192	6	supportive_but_indirect	canonical
GGTA1	Q4G0N0	250	8	weak	no
GGTLC2	Q14390	102	3	weak	no
GHDC	Q8N2G8	139	1	weak	no
GHR	P10912	286	19	direct_multi_method	canonical
GHRHR	Q02643	230	20	direct_single_method	canonical
GHSR	Q92847	248	30	direct_multi_method	canonical
GINM1	Q9NU53	124	0	weak	low
GIPR	P48546	243	31	direct_multi_method	canonical
GJA1	P17302	321	43	supportive_but_indirect	likely
GJA10	Q969M2	131	8	direct_single_method	canonical
GJA3	Q9Y6H8	253	25	direct_multi_method	likely
GJA4	P35212	241	23	supportive_but_indirect	canonical
GJA5	P36382	271	30	supportive_but_indirect	likely
GJA8	P48165	273	20	direct_single_method	likely
GJA9	P57773	182	10	supportive_but_indirect	canonical
GJB1	P08034	249	26	direct_multi_method	canonical
GJB2	P29033	275	33	supportive_but_indirect	canonical
GJB3	O75712	237	18	supportive_but_indirect	likely
GJB4	Q9NTQ9	194	14	supportive_but_indirect	likely
GJB5	O95377	167	14	conflicting	low
GJB6	O95452	281	23	direct_multi_method	canonical
GJB7	Q6PEY0	106	6	direct_single_method	canonical
GJC1	P36383	225	33	direct_single_method	likely
GJC2	Q5T442	195	26	direct_multi_method	likely
GJC3	Q8NFK1	171	16	supportive_but_indirect	likely
GJD2	Q9UKL4	217	29	direct_multi_method	low
GJD3	Q8N144	192	14	direct_multi_method	likely
GJD4	Q96KN9	216	6	direct_multi_method	likely
GJE1	A6NN92	191	8	supportive_but_indirect	likely
GKN1	Q9NS71	311	3	weak	low
GLDN	Q6ZMI3	228	11	direct_single_method	likely
GLG1	Q92896	218	16	direct_single_method	likely
GLIPR1	P48060	214	9	direct_single_method	canonical
GLIPR1L1	Q6UWM5	81	4	supportive_but_indirect	likely
GLIPR1L2	Q4G1C9	61	1	weak	low
GLMP	Q8WWB7	233	11	weak	no
GLP1R	P43220	285	38	direct_multi_method	canonical
GLP2R	O95838	279	25	direct_multi_method	canonical
GLRA1	P23415	232	18	direct_multi_method	canonical
GLRA2	P23416	251	14	direct_multi_method	canonical
GLRA3	O75311	194	16	direct_multi_method	canonical
GLRB	P48167	197	23	direct_multi_method	canonical
GMFB	P60983	228	2	weak	no
GMFG	O60234	177	6	weak	no
GML	Q99445	246	1	weak	likely
GNAI2	P04899	321	15	weak	no
GNAL	P38405	248	4	weak	no
GNAQ	P50148	299	13	weak	no
GNAS	P63092	343	3	weak	no
GNB1	P62873	361	5	weak	no
GNB2	P62879	238	8	weak	no
GNB3	P16520	243	5	weak	no
GNB4	Q9HAV0	214	6	weak	no
GNG2	P59768	221	5	weak	no
GNRHR	P30968	254	26	direct_multi_method	canonical
GOLGA7B	Q2TAP0	86	3	weak	no
