uniprot_accession	hgnc_id	hgnc_symbol	gene_symbol	ensembl_gene	ncbi_gene_id	src_sonnet	src_surfy	src_go	src_hpa	uniprot_optimized	cspa_optimized	n_sources_optimized	topo_gpi_anchored	topo_gpcr_7tm	topo_multi_pass_tm	topo_single_pass_tm	topo_signal_only_secreted	topo_inner_leaflet_lipidated	topo_no_tm_no_signal	up_has_glyc	deeptm_TM_NO_SP
Q4V321	HGNC:29081	GAGE13	GAGE13	ENSG00000274274	645051.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q6NT46	HGNC:4099	GAGE2A	GAGE2A	ENSG00000189064	729447.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q4V326	HGNC:31960	GAGE2E	GAGE2E	ENSG00000275113	26749.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q10472	HGNC:4123	GALNT1	GALNT1	ENSG00000141429	2589.0	0	0	0	0	0	1	1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
Q86SR1	HGNC:19873	GALNT10	GALNT10	ENSG00000164574	55568.0	0	0	0	1	0	0	1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
Q8IXK2	HGNC:19877	GALNT12	GALNT12	ENSG00000119514	79695.0	0	0	0	1	0	0	1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
P47211	HGNC:4132	GALR1	GALR1	ENSG00000166573	2587.0	1	1	0	1	1	0	3	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
O43603	HGNC:4133	GALR2	GALR2	ENSG00000182687	8811.0	1	1	0	0	1	0	2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
O60755	HGNC:4134	GALR3	GALR3	ENSG00000128310	8484.0	1	1	0	0	1	0	2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
P17677	HGNC:4140	GAP43	GAP43	ENSG00000172020	2596.0	0	0	1	1	0	0	2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
P04406	HGNC:4141	GAPDH	GAPDH	ENSG00000111640	2597.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
Q8N292	HGNC:26588	GAPT	GAPT	ENSG00000175857	202309.0	1	0	0	1	1	0	2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
Q14C86	HGNC:23375	GAPVD1	GAPVD1	ENSG00000165219	26130.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
P41250	HGNC:4162	GARS1	GARS1	ENSG00000106105	2617.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
P54826	HGNC:4165	GAS1	GAS1	ENSG00000180447	2619.0	1	1	0	0	1	0	2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
O43903	HGNC:4167	GAS2	GAS2	ENSG00000148935	2620.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q99501	HGNC:16955	GAS2L1	GAS2L1	ENSG00000185340	10634.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
O60861	HGNC:4169	GAS7	GAS7	ENSG00000007237	8522.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q6UWH4	HGNC:25312	GASK1B	GASK1B	ENSG00000164125	51313.0	0	0	0	0	1	0	1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
P04062	HGNC:4177	GBA1	GBA1	ENSG00000177628	2629.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
Q9HCG7	HGNC:18986	GBA2	GBA2	ENSG00000070610	57704.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
P02774	HGNC:4187	GC	GC	ENSG00000145321	2638.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Q96CN9	HGNC:19095	GCC1	GCC1	ENSG00000179562	79571.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
P47871	HGNC:4192	GCGR	GCGR	ENSG00000215644	2642.0	1	1	0	0	1	0	2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
P48507	HGNC:4312	GCLM	GCLM	ENSG00000023909	2730.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q6ZNI0	HGNC:16099	GCNT7	GCNT7	ENSG00000124091	140687.0	0	0	0	0	1	0	1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Q8N6F7	HGNC:20253	GCSAM	GCSAM	ENSG00000174500	257144.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q9NXN4	HGNC:18010	GDAP2	GDAP2	ENSG00000196505	54834.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q9NZC3	HGNC:29644	GDE1	GDE1	ENSG00000006007	51573.0	1	0	0	1	1	0	2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
Q99988	HGNC:30142	GDF15	GDF15	ENSG00000130513	9518.0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
P43026	HGNC:4220	GDF5	GDF5	ENSG00000125965	8200.0	0	0	0	0	1	0	1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
Q8N9F7	HGNC:20883	GDPD1	GDPD1	ENSG00000153982	284161.0	0	0	0	0	1	0	1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Q9HCC8	HGNC:25974	GDPD2	GDPD2	ENSG00000130055	54857.0	0	1	0	0	1	0	2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
Q7L5L3	HGNC:28638	GDPD3	GDPD3	ENSG00000102886	79153.0	0	0	0	0	1	0	1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
Q6W3E5	HGNC:24849	GDPD4	GDPD4	ENSG00000178795	220032.0	0	0	0	0	1	0	1	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
Q8WTR4	HGNC:28804	GDPD5	GDPD5	ENSG00000158555	81544.0	1	1	1	0	1	0	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0
P55040	HGNC:4234	GEM	GEM	ENSG00000164949	2669.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q9NXC2	HGNC:21096	GFOD1	GFOD1	ENSG00000145990	54438.0	1	0	0	1	0	0	1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Q3B7J2	HGNC:28159	GFOD2	GFOD2	ENSG00000141098	81577.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
P56159	HGNC:4243	GFRA1	GFRA1	ENSG00000151892	2674.0	1	1	1	0	1	1	4	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
O00451	HGNC:4244	GFRA2	GFRA2	ENSG00000168546	2675.0	1	1	1	1	1	1	5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
O60609	HGNC:4245	GFRA3	GFRA3	ENSG00000146013	2676.0	1	1	1	1	1	0	4	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Q9GZZ7	HGNC:13821	GFRA4	GFRA4	ENSG00000125861	64096.0	1	1	1	0	1	0	3	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Q6UXV0	HGNC:32789	GFRAL	GFRAL	ENSG00000187871	389400.0	1	1	1	1	1	0	4	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
I3L273	HGNC:44663	GFY	GFY	ENSG00000261949	100507003.0	0	1	0	0	1	0	2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
P19440	HGNC:4250	GGT1	GGT1	ENSG00000100031	2678.0	1	1	0	0	1	0	2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
P36269	HGNC:4260	GGT5	GGT5	ENSG00000099998	2687.0	1	0	0	0	1	0	1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
Q6P531	HGNC:26891	GGT6	GGT6	ENSG00000167741	124975.0	1	0	0	0	1	0	1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
Q9UJ14	HGNC:4259	GGT7	GGT7	ENSG00000131067	2686.0	1	1	0	0	1	0	2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
Q4G0N0	HGNC:4253	GGTA1	GGTA1	ENSG00000204136	2681.0	0	0	0	1	0	0	1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q14390	HGNC:18596	GGTLC2	GGTLC2	ENSG00000100121	91227.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q8N2G8	HGNC:24438	GHDC	GHDC	ENSG00000167925	84514.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
P10912	HGNC:4263	GHR	GHR	ENSG00000112964	2690.0	1	1	1	1	1	0	4	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Q02643	HGNC:4266	GHRHR	GHRHR	ENSG00000106128	2692.0	1	1	1	0	1	0	3	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Q92847	HGNC:4267	GHSR	GHSR	ENSG00000121853	2693.0	1	1	1	0	1	0	3	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
Q9NWU2	HGNC:15857	GID8	GID8	ENSG00000101193	54994.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q9NU53	HGNC:21074	GINM1	GINM1	ENSG00000055211	116254.0	1	1	0	1	1	0	3	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
O14908	HGNC:1226	GIPC1	GIPC1	ENSG00000123159	10755.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
P48546	HGNC:4271	GIPR	GIPR	ENSG00000010310	2696.0	1	1	0	0	1	0	2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
P17302	HGNC:4274	GJA1	GJA1	ENSG00000152661	2697.0	0	1	1	1	1	0	4	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
Q969M2	HGNC:16995	GJA10	GJA10	ENSG00000135355	84694.0	1	0	1	0	1	0	2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
Q9Y6H8	HGNC:4277	GJA3	GJA3	ENSG00000121743	2700.0	1	1	1	0	1	0	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
P35212	HGNC:4278	GJA4	GJA4	ENSG00000187513	2701.0	0	1	1	0	1	0	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
P36382	HGNC:4279	GJA5	GJA5	ENSG00000265107	2702.0	0	0	1	0	1	0	2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
P48165	HGNC:4281	GJA8	GJA8	ENSG00000121634	2703.0	1	0	1	0	1	0	2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
P57773	HGNC:19155	GJA9	GJA9	ENSG00000131233	81025.0	1	0	1	0	1	0	2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
P08034	HGNC:4283	GJB1	GJB1	ENSG00000169562	2705.0	1	1	1	0	1	0	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
P29033	HGNC:4284	GJB2	GJB2	ENSG00000165474	2706.0	1	1	1	0	1	0	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
O75712	HGNC:4285	GJB3	GJB3	ENSG00000188910	2707.0	0	1	1	1	1	0	4	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
Q9NTQ9	HGNC:4286	GJB4	GJB4	ENSG00000189433	127534.0	1	1	1	1	1	0	4	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
O95377	HGNC:4287	GJB5	GJB5	ENSG00000189280	2709.0	0	1	1	0	1	0	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
O95452	HGNC:4288	GJB6	GJB6	ENSG00000121742	10804.0	1	1	1	1	1	0	4	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
Q6PEY0	HGNC:16690	GJB7	GJB7	ENSG00000164411	375519.0	1	1	1	1	1	0	4	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
P36383	HGNC:4280	GJC1	GJC1	ENSG00000182963	10052.0	0	0	1	1	1	0	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
Q5T442	HGNC:17494	GJC2	GJC2	ENSG00000198835	57165.0	1	1	1	1	1	0	4	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
Q8NFK1	HGNC:17495	GJC3	GJC3	ENSG00000176402	349149.0	0	1	1	0	1	0	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
Q9UKL4	HGNC:19154	GJD2	GJD2	ENSG00000159248	57369.0	0	1	1	0	1	0	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
Q8N144	HGNC:19147	GJD3	GJD3	ENSG00000183153	125111.0	1	0	1	0	1	0	2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
Q96KN9	HGNC:23296	GJD4	GJD4	ENSG00000177291	219770.0	1	0	1	0	1	0	2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
A6NN92	HGNC:33251	GJE1	GJE1	ENSG00000203733	100126572.0	1	0	1	0	1	0	2	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
Q9NS71	HGNC:23217	GKN1	GKN1	ENSG00000169605	56287.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
Q6ZMI3	HGNC:29514	GLDN	GLDN	ENSG00000186417	342035.0	1	1	1	1	1	0	4	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Q92896	HGNC:4316	GLG1	GLG1	ENSG00000090863	2734.0	1	0	0	0	1	1	2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
P48060	HGNC:17001	GLIPR1	GLIPR1	ENSG00000139278	11010.0	1	1	0	0	0	0	1	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q6UWM5	HGNC:28392	GLIPR1L1	GLIPR1L1	ENSG00000173401	256710.0	1	0	0	0	1	0	1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Q4G1C9	HGNC:28592	GLIPR1L2	GLIPR1L2	ENSG00000180481	144321.0	1	0	0	0	0	0	0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Q8WWB7	HGNC:29436	GLMP	GLMP	ENSG00000198715	112770.0	1	1	0	0	0	1	2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Q04760	HGNC:4323	GLO1	GLO1	ENSG00000124767	2739.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
P43220	HGNC:4324	GLP1R	GLP1R	ENSG00000112164	2740.0	1	1	0	1	1	0	3	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
O95838	HGNC:4325	GLP2R	GLP2R	ENSG00000065325	9340.0	1	1	0	1	1	0	3	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
P23415	HGNC:4326	GLRA1	GLRA1	ENSG00000145888	2741.0	1	1	0	1	1	0	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
P23416	HGNC:4327	GLRA2	GLRA2	ENSG00000101958	2742.0	1	1	0	1	1	0	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
O75311	HGNC:4328	GLRA3	GLRA3	ENSG00000145451	8001.0	1	1	1	1	1	0	4	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
P48167	HGNC:4329	GLRB	GLRB	ENSG00000109738	2743.0	1	1	1	0	1	0	3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
P35754	HGNC:4330	GLRX	GLRX	ENSG00000173221	2745.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
P15104	HGNC:4341	GLUL	GLUL	ENSG00000135821	2752.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
P17900	HGNC:4367	GM2A	GM2A	ENSG00000196743	2760.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
P60983	HGNC:4373	GMFB	GMFB	ENSG00000197045	2764.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
O60234	HGNC:4374	GMFG	GMFG	ENSG00000130755	9535.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q9P107	HGNC:24852	GMIP	GMIP	ENSG00000089639	51291.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q99445	HGNC:4375	GML	GML	ENSG00000104499	2765.0	1	1	0	0	1	0	2	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
P29992	HGNC:4379	GNA11	GNA11	ENSG00000088256	2767.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q03113	HGNC:4380	GNA12	GNA12	ENSG00000146535	2768.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q14344	HGNC:4381	GNA13	GNA13	ENSG00000120063	10672.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
O95837	HGNC:4382	GNA14	GNA14	ENSG00000156049	9630.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
P30679	HGNC:4383	GNA15	GNA15	ENSG00000060558	2769.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
P63096	HGNC:4384	GNAI1	GNAI1	ENSG00000127955	2770.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
P04899	HGNC:4385	GNAI2	GNAI2	ENSG00000114353	2771.0	0	0	1	1	0	0	2	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
P08754	HGNC:4387	GNAI3	GNAI3	ENSG00000065135	2773.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
P38405	HGNC:4388	GNAL	GNAL	ENSG00000141404	2774.0	0	0	1	1	0	0	2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
P09471	HGNC:4389	GNAO1	GNAO1	ENSG00000087258	2775.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
P50148	HGNC:4390	GNAQ	GNAQ	ENSG00000156052	2776.0	0	0	1	1	0	0	2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q5JWF2	HGNC:4392	GNAS	GNAS	ENSG00000087460	2778.0	0	0	1	1	1	0	3	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	
P11488	HGNC:4393	GNAT1	GNAT1	ENSG00000114349	2779.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
P19087	HGNC:4394	GNAT2	GNAT2	ENSG00000134183	2780.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
A8MTJ3	HGNC:22800	GNAT3	GNAT3	ENSG00000214415	346562.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
P19086	HGNC:4395	GNAZ	GNAZ	ENSG00000128266	2781.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
P62873	HGNC:4396	GNB1	GNB1	ENSG00000078369	2782.0	0	0	1	1	0	0	2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
P62879	HGNC:4398	GNB2	GNB2	ENSG00000172354	2783.0	0	0	1	1	0	0	2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
P16520	HGNC:4400	GNB3	GNB3	ENSG00000111664	2784.0	0	0	1	1	0	0	2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q9HAV0	HGNC:20731	GNB4	GNB4	ENSG00000114450	59345.0	0	0	1	1	0	0	2	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
O14775	HGNC:4401	GNB5	GNB5	ENSG00000069966	10681.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
P50151	HGNC:4402	GNG10	GNG10	ENSG00000242616	2790.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
P61952	HGNC:4403	GNG11	GNG11	ENSG00000127920	2791.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Q9UBI6	HGNC:19663	GNG12	GNG12	ENSG00000172380	55970.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Q9P2W3	HGNC:14131	GNG13	GNG13	ENSG00000127588	51764.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
A0A1W2PPG7	HGNC:53439	GNG14	GNG14	ENSG00000283980	105372280.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
P59768	HGNC:4404	GNG2	GNG2	ENSG00000186469	54331.0	0	0	1	1	0	0	2	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
P63215	HGNC:4405	GNG3	GNG3	ENSG00000162188	2785.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
P50150	HGNC:4407	GNG4	GNG4	ENSG00000168243	2786.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
P63218	HGNC:4408	GNG5	GNG5	ENSG00000174021	2787.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
A0A804HLA8	HGNC:24826	GNG5B	GNG5B	ENSG00000133136	347687.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
O60262	HGNC:4410	GNG7	GNG7	ENSG00000176533	2788.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Q9UK08	HGNC:19664	GNG8	GNG8	ENSG00000167414	94235.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
P63211	HGNC:4411	GNGT1	GNGT1	ENSG00000127928	2792.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
O14610	HGNC:4412	GNGT2	GNGT2	ENSG00000167083	2793.0	0	0	1	0	0	0	1	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Q9UJJ9	HGNC:23026	GNPTG	GNPTG	ENSG00000090581	84572.0	0	0	0	0	0	1	1	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
P30968	HGNC:4421	GNRHR	GNRHR	ENSG00000109163	2798.0	1	1	0	0	1	0	2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
Q2TAP0	HGNC:31668	GOLGA7B	GOLGA7B	ENSG00000155265	401647.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q8NBJ4	HGNC:15451	GOLM1	GOLM1	ENSG00000135052	51280.0	1	0	0	0	0	0	0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0
P00505	HGNC:4433	GOT2	GOT2	ENSG00000125166	2806.0	1	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
P07359	HGNC:4439	GP1BA	GP1BA	ENSG00000185245	2811.0	1	1	1	0	1	0	3	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
P13224	HGNC:4440	GP1BB	GP1BB	ENSG00000203618	2812.0	1	1	0	0	1	0	2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
P55259	HGNC:4441	GP2	GP2	ENSG00000169347	2813.0	1	1	1	0	1	0	3	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
P40197	HGNC:4443	GP5	GP5	ENSG00000178732	2814.0	1	1	1	0	1	1	4	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Q9HCN6	HGNC:14388	GP6	GP6	ENSG00000088053	51206.0	1	1	1	1	1	0	4	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
P14770	HGNC:4444	GP9	GP9	ENSG00000169704	2815.0	1	0	0	1	1	0	2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Q99795	HGNC:4445	GPA33	GPA33	ENSG00000143167	10223.0	1	1	0	0	1	0	2	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Q8TDU6	HGNC:19680	GPBAR1	GPBAR1	ENSG00000179921	151306.0	1	1	0	0	1	0	2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0
Q86WP2	HGNC:29520	GPBP1	GPBP1	ENSG00000062194	65056.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Q9HC44	HGNC:28843	GPBP1L1	GPBP1L1	ENSG00000159592	60313.0	0	0	0	1	0	0	1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
P35052	HGNC:4449	GPC1	GPC1	ENSG00000063660	2817.0	1	1	1	1	1	1	5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Q8N158	HGNC:4450	GPC2	GPC2	ENSG00000213420	221914.0	1	1	1	0	1	0	3	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
P51654	HGNC:4451	GPC3	GPC3	ENSG00000147257	2719.0	1	1	1	1	1	0	4	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
O75487	HGNC:4452	GPC4	GPC4	ENSG00000076716	2239.0	1	1	1	1	1	1	5	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
P78333	HGNC:4453	GPC5	GPC5	ENSG00000179399	2262.0	1	1	1	0	1	1	4	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
