uniprot_accession	gene_symbol_input	gene_symbol	gene_symbol_mapping_status	gene_symbol_resolved	gene_symbol_mygene_score	uniprot_entry_name	uniprot_surface_flag	go_surface_flag	surfy_surface_flag	cspa_surface_flag	hpa_surface_flag	deeptmhmm_surface_flag	compartments_surface_flag	n_sources_surface	in_db_union	ml_only_edge_case	sources_present	go_n_go_ids	go_has_experimental	go_has_curated	go_has_sequence	go_has_electronic	go_low_confidence_only	surfy_label	surfy_ml_score	cspa_category	cspa_is_high_confidence	cspa_is_putative	cspa_is_unspecific	cspa_category_missing	cspa_any_high_confidence_precollapse	cspa_any_putative_precollapse	cspa_any_unspecific_precollapse	cspa_any_missing_category_precollapse	cspa_mixed_category_conflict	uniprot_split_mapping_ambiguous	go_split_mapping_ambiguous	surfy_split_mapping_ambiguous	cspa_split_mapping_ambiguous	deeptmhmm_split_mapping_ambiguous	hpa_split_mapping_ambiguous	compartments_split_mapping_ambiguous	split_mapping_ambiguous_any_source	deeptmhmm_label	deeptmhmm_label_source	hpa_reliability	hpa_pm_accessible	hpa_junctional	hpa_secreted_only	hpa_trafficking_associated	hpa_pm_reliability	hpa_junction_reliability	hpa_pm_in_enhanced	hpa_pm_in_supported	hpa_pm_in_approved	hpa_pm_in_uncertain	hpa_cj_in_enhanced	hpa_cj_in_supported	hpa_cj_in_approved	hpa_cj_in_uncertain	hpa_has_extracellular	hpa_locations	hpa_go_ids	hpa_low_confidence_only	hpa_ensembl_gene_id	compartments_integrated_stars_max	compartments_knowledge_stars_max	compartments_experiments_stars_max	compartments_textmining_stars_max	compartments_predictions_stars_max	compartments_surface_terms	compartments_low_confidence_only	compartments_corroborated	compartments_ensembl_protein_id
Q8TCW7	ZPLD1	ZPLD1	exact	ZPLD1	17.415005	ZPLD1_HUMAN	1	1	1	0	0	1	0	3	1	0	uniprot,go,surfy,deeptmhmm	1	0.0	1.0	0.0	0.0	0.0	surface	0.8882											0	0	0	0	0	0	0	0	SP+TM	human_canonical																												1	
Q8TD07	RAET1E	RAET1E	exact	RAET1E	20.396372	RAE1E_HUMAN	1	1	1	0	0	1	0	3	1	0	uniprot,go,surfy,deeptmhmm	1	0.0	1.0	0.0	0.0	0.0	surface	0.8942											0	0	0	0	0	0	0	0	SP+TM	human_canonical																					3.869	3.0	0.0	2.173	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000349709
Q8TD20	SLC2A12	SLC2A12	exact	SLC2A12	17.529263	GTR12_HUMAN	1	0	1	0	1	1	0	3	1	0	uniprot,surfy,hpa,deeptmhmm							surface	0.9122											0	0	0	0	0	0	0	0	TM	human_canonical	Supported	1.0	1.0	0.0	0.0	enhanced	supported	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Plasma membrane;Cell Junctions	GO:0005886;GO:0030054	0.0	ENSG00000146411								1	
Q8TD84	DSCAML1	DSCAML1	exact	DSCAML1	17.729483	DSCL1_HUMAN	1	1	1	0	0	1	0	3	1	0	uniprot,go,surfy,deeptmhmm	1	1.0	0.0	0.0	0.0	0.0	surface	0.9681											0	0	0	0	0	0	0	0	SP+TM	human_canonical																												1	
Q8TDB8	SLC2A14	SLC2A14	exact	SLC2A14	24.582613	GTR14_HUMAN	1	0	1	0	1	1	0	3	1	0	uniprot,surfy,hpa,deeptmhmm							surface	0.8603											0	0	0	0	0	0	0	0	TM	human_canonical	Supported	1.0	0.0	0.0	0.0	supported		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane	GO:0005886	0.0	ENSG00000173262								1	
Q8TDF5	NETO1	NETO1	exact	NETO1	18.165335	NETO1_HUMAN	1	1	1	0	0	1	0	3	1	0	uniprot,go,surfy,deeptmhmm	1	0.0	1.0	0.0	1.0	0.0	surface	0.9521											0	0	0	0	0	0	0	0	SP+TM	human_canonical	Approved	0.0	0.0	1.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	Golgi apparatus;Predicted to be secreted	GO:0005794	1.0	ENSG00000166342								1	
Q8TDN2	KCNV2	KCNV2	exact	KCNV2	18.19475	KCNV2_HUMAN	1	1	1	0	0	1	0	3	1	0	uniprot,go,surfy,deeptmhmm	1	0.0	1.0	0.0	1.0	0.0	surface	0.4126											0	0	0	0	0	0	0	0	TM	human_canonical																												1	
Q8TDQ0	HAVCR2	HAVCR2	exact	HAVCR2	18.925	HAVR2_HUMAN	1	1	1	0	0	1	1	3	1	0	uniprot,go,surfy,deeptmhmm,compartments	2	1.0	0.0	0.0	1.0	0.0	surface	0.8463											0	0	0	0	0	0	0	0	SP+TM	human_canonical																					5.0	5.0	0.0	3.215	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000312002
Q8TDS4	HCAR2	HCAR2	exact	HCAR2	18.875404	HCAR2_HUMAN	1	0	1	0	1	1	0	3	1	0	uniprot,surfy,hpa,deeptmhmm							surface	0.6776											0	0	0	0	0	0	0	0	TM	human_canonical	Supported	0.0	1.0	0.0	0.0		supported	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Cell Junctions	GO:0030054	0.0	ENSG00000182782								1	
Q8TDV2	GPR148	GPR148	exact	GPR148	18.822449	GP148_HUMAN	1	0	1	0	1	1	0	3	1	0	uniprot,surfy,hpa,deeptmhmm							surface	0.8079											0	0	0	0	0	0	0	0	TM	human_canonical	Supported	1.0	0.0	0.0	0.0	supported		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane	GO:0005886	0.0	ENSG00000173302								1	
Q8TDX9	PKD1L1	PKD1L1	exact	PKD1L1	18.908129	PK1L1_HUMAN	1	1	1	0	0	1	0	3	1	0	uniprot,go,surfy,deeptmhmm	1	1.0	0.0	0.0	1.0	0.0	surface	0.7705											0	0	0	0	0	0	0	0	TM	human_canonical																												1	
Q8TDY8	IGDCC4	IGDCC4	exact	IGDCC4	17.629154	IGDC4_HUMAN	1	0	1	1	0	1	0	3	1	0	uniprot,surfy,cspa,deeptmhmm							surface	0.9113	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical																												1	
Q8TF71	SLC16A10	SLC16A10	exact	SLC16A10	17.576342	MOT10_HUMAN	1	1	0	0	1	0	0	3	1	0	uniprot,go,hpa	1	1.0	1.0	1.0	1.0	0.0													0	0	0	0	0	0	0	0			Supported	0.0	1.0	0.0	1.0		supported	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	Cell Junctions;Vesicles	GO:0030054;GO:0043231	0.0	ENSG00000112394								1	
Q8WUX1	SLC38A5	SLC38A5	exact	SLC38A5	17.910212	S38A5_HUMAN	1	0	1	0	1	1	0	3	1	0	uniprot,surfy,hpa,deeptmhmm							surface	0.8383											0	0	0	0	0	0	0	0	TM	human_canonical	Approved	1.0	0.0	0.0	1.0	approved		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane;Vesicles;Cytosol	GO:0005829;GO:0005886;GO:0043231	0.0	ENSG00000017483								1	
Q8WVV5	BTN2A2	BTN2A2	exact	BTN2A2	21.962692	BT2A2_HUMAN	1	1	1	0	0	1	0	3	1	0	uniprot,go,surfy,deeptmhmm	2	0.0	1.0	0.0	1.0	0.0	surface	0.8922											0	0	0	0	0	0	0	0	SP+TM	human_canonical																												1	
Q8WWQ8	STAB2	STAB2	exact	STAB2	17.599758	STAB2_HUMAN	1	1	1	0	0	1	0	3	1	0	uniprot,go,surfy,deeptmhmm	1	0.0	0.0	1.0	0.0	0.0	surface	0.9441											0	0	0	0	0	0	0	0	SP+TM	human_canonical																					4.44	4.0	0.0	2.2	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000373539
Q8WXG9	ADGRV1	ADGRV1	exact	ADGRV1	17.594322	AGRV1_HUMAN	1	1	1	0	0	1	0	3	1	0	uniprot,go,surfy,deeptmhmm	3	1.0	0.0	1.0	1.0	0.0	surface	0.9301											0	0	0	0	0	0	0	0	SP+TM	human_canonical																												1	
Q8WY21	SORCS1	SORCS1	exact	SORCS1	18.060318		0	0	1	1	1	1	0	3	1	0	surfy,cspa,hpa,deeptmhmm							surface	0.6926	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical	Approved	1.0	0.0	0.0	0.0	approved		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Cytosol;Plasma membrane	GO:0005829;GO:0005886	0.0	ENSG00000108018								1	
Q92482	AQP3	AQP3	exact	AQP3	18.485353	AQP3_HUMAN	1	1	0	0	1	0	0	3	1	0	uniprot,go,hpa	1	0.0	1.0	1.0	1.0	0.0													0	0	0	0	0	0	0	0			Supported	1.0	0.0	0.0	0.0	supported		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane	GO:0005886	0.0	ENSG00000165272								1	
Q92508	PIEZO1	PIEZO1	exact	PIEZO1	17.62732	PIEZ1_HUMAN	1	0	1	1	0	1	0	3	1	0	uniprot,surfy,cspa,deeptmhmm	1	0.0	0.0	0.0	1.0	1.0	surface	0.5538	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	TM	human_canonical																					2.075	0.0	0.0	2.075	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000301015
Q92536	SLC7A6	SLC7A6	exact	SLC7A6	17.64677	YLAT2_HUMAN	1	0	1	0	1	1	0	3	1	0	uniprot,surfy,hpa,deeptmhmm							surface	0.9102											0	0	0	0	0	0	0	0	TM	human_canonical	Uncertain	1.0	0.0	0.0	1.0	supported		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Vesicles;Plasma membrane	GO:0005886;GO:0043231	0.0	ENSG00000103064								1	
Q92537	SUSD6	SUSD6	exact	SUSD6	17.640263	SUSD6_HUMAN	1	0	1	0	1	1	0	3	1	0	uniprot,surfy,hpa,deeptmhmm							surface	0.6307											0	0	0	0	0	0	0	0	SP+TM	human_canonical	Approved	1.0	0.0	0.0	0.0	approved		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane;Cytosol	GO:0005829;GO:0005886	0.0	ENSG00000100647								1	
Q92626	PXDN	PXDN	exact	PXDN	16.949347	PXDN_HUMAN	1	1	0	1	0	0	1	3	1	0	uniprot,go,cspa,compartments	1	1.0	0.0	0.0	1.0	0.0			1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0																							5.0	5.0	0.0	3.286	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000252804
Q92633	LPAR1	LPAR1	exact	LPAR1	17.619576	LPAR1_HUMAN	1	1	1	0	0	1	0	3	1	0	uniprot,go,surfy,deeptmhmm	3	1.0	0.0	0.0	1.0	0.0	surface	0.9581											0	0	0	0	0	0	0	0	TM	human_canonical																					5.0	5.0	0.0	2.155	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000363553
Q92637	FCGR1BP	FCGR1BP	exact	FCGR1BP	8.303598	FCGRB_HUMAN	1	1	1	0	0	1	0	3	1	0	uniprot,go,surfy,deeptmhmm	1	0.0	1.0	0.0	0.0	0.0	surface	0.8623											0	0	0	0	0	0	0	0	SP+TM	human_canonical																												1	
Q92673	SORL1	SORL1	exact	SORL1	17.5854		0	1	1	1	0	1	0	3	1	0	go,surfy,cspa,deeptmhmm	1	1.0	0.0	0.0	0.0	0.0	surface	0.9721	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical																					5.0	5.0	0.0	2.226	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000260197
Q92847	GHSR	GHSR	exact	GHSR	18.211079	GHSR_HUMAN	1	1	1	0	0	1	0	3	1	0	uniprot,go,surfy,deeptmhmm	2	1.0	0.0	0.0	1.0	0.0	surface	0.9779											0	0	0	0	0	0	0	0	TM	human_canonical																												1	
Q92953	KCNB2	KCNB2	exact	KCNB2	18.187134	KCNB2_HUMAN	1	1	0	0	1	0	0	3	1	0	uniprot,go,hpa	2	0.0	1.0	1.0	1.0	0.0													0	0	0	0	0	0	0	0			Approved	1.0	0.0	0.0	0.0	approved		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane;Midbody;Nucleoli	GO:0005730;GO:0005886;GO:0030496	0.0	ENSG00000182674								1	
Q93033	CD101	CD101	exact	CD101	18.472633	IGSF2_HUMAN	1	0	1	1	0	1	0	3	1	0	uniprot,surfy,cspa,deeptmhmm							surface	0.8463	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical																					2.065	0.0	0.0	2.065	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000358482
Q969F8	KISS1R	KISS1R	exact	KISS1R	18.91249	KISSR_HUMAN	1	0	1	0	1	1	0	3	1	0	uniprot,surfy,hpa,deeptmhmm	1	0.0	0.0	0.0	1.0	1.0	surface	0.9649											0	0	0	0	0	0	0	0	TM	human_canonical	Supported	1.0	0.0	0.0	1.0	supported		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane;Vesicles	GO:0005886;GO:0043231	0.0	ENSG00000116014								1	
Q969I6	SLC38A4	SLC38A4	exact	SLC38A4	17.625225	S38A4_HUMAN	1	1	1	0	0	1	0	3	1	0	uniprot,go,surfy,deeptmhmm	1	1.0	0.0	0.0	1.0	0.0	surface	0.7685											0	0	0	0	0	0	0	0	TM	human_canonical																												1	
Q969P0	IGSF8	IGSF8	exact	IGSF8	17.998001	IGSF8_HUMAN	1	0	1	1	0	1	0	3	1	0	uniprot,surfy,cspa,deeptmhmm	1	0.0	0.0	0.0	1.0	1.0	surface	0.486	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical																												1	
Q969V1	MCHR2	MCHR2	exact	MCHR2	18.604464	MCHR2_HUMAN	1	0	1	0	1	1	0	3	1	0	uniprot,surfy,hpa,deeptmhmm							surface	0.9677											0	0	0	0	0	0	0	0	TM	human_canonical	Supported	1.0	0.0	0.0	1.0	supported		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane;Basal body;Nucleoplasm;Primary cilium tip;Vesicles	GO:0005654;GO:0005886;GO:0036064;GO:0043231;GO:0097542	0.0	ENSG00000152034								1	
Q96A28	SLAMF9	SLAMF9	exact	SLAMF9	19.280529	SLAF9_HUMAN	1	1	1	0	0	1	0	3	1	0	uniprot,go,surfy,deeptmhmm	2	1.0	1.0	0.0	0.0	0.0	surface	0.7146											0	0	0	0	0	0	0	0	SP+TM	human_canonical																												1	
Q96BF3	TMIGD2	TMIGD2	exact	TMIGD2	19.385374	TMIG2_HUMAN	1	0	1	1	0	1	0	3	1	0	uniprot,surfy,cspa,deeptmhmm							surface	0.911	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical																												1	
Q96BI1	SLC67A1	SLC67A1	exact	SLC67A1	18.005943	S67A1_HUMAN	1	1	0	0	1	0	0	3	1	0	uniprot,go,hpa	1	1.0	0.0	0.0	1.0	0.0													0	0	0	0	0	0	0	0			Approved	1.0	0.0	0.0	0.0	approved		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane	GO:0005886	0.0	ENSG00000110628								1	
Q96CE8	TM4SF18	TM4SF18	exact	TM4SF18	18.376585	T4S18_HUMAN	1	0	1	0	1	1	0	3	1	0	uniprot,surfy,hpa,deeptmhmm							surface	0.6248											0	0	0	0	0	0	0	0	TM	human_canonical	Approved	1.0	0.0	0.0	0.0	approved		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane	GO:0005886	0.0	ENSG00000163762								1	
Q96D42	HAVCR1	HAVCR1	exact	HAVCR1	19.30837	HAVR1_HUMAN	1	1	1	0	0	1	0	3	1	0	uniprot,go,surfy,deeptmhmm	2	0.0	1.0	0.0	1.0	0.0	surface	0.8603											0	0	0	0	0	0	0	0	SP+TM	human_canonical																												1	
Q96E93	KLRG1	KLRG1	exact	KLRG1	19.080572	KLRG1_HUMAN	1	0	1	1	0	1	0	3	1	0	uniprot,surfy,cspa,deeptmhmm							surface	0.773	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	TM	human_canonical																					2.901	0.0	0.0	2.901	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000266551
Q96F05	C11orf24	C11ORF24	exact	C11ORF24	25.740805	CK024_HUMAN	1	0	1	1	0	1	0	3	1	0	uniprot,surfy,cspa,deeptmhmm							surface	0.754	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical																												1	
Q96F46	IL17RA	IL17RA	exact	IL17RA	18.237131	I17RA_HUMAN	1	0	1	1	0	1	0	3	1	0	uniprot,surfy,cspa,deeptmhmm							surface	0.9351	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical	Approved	0.0	0.0	1.0	0.0			0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	Cytosol;Nucleoplasm;Predicted to be secreted	GO:0005654;GO:0005829	1.0	ENSG00000177663	2.262	0.0	0.0	2.262	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000320936
Q96F81	DISP1	DISP1	exact	DISP1	17.585363		0	1	1	0	1	1	0	3	1	0	go,surfy,hpa,deeptmhmm	1	0.0	0.0	1.0	0.0	0.0	surface	0.7924											0	0	0	0	0	0	0	0	TM	human_canonical	Approved	1.0	0.0	0.0	0.0	approved		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane	GO:0005886	0.0	ENSG00000154309								1	
Q96FE5	LINGO1	LINGO1	exact	LINGO1	17.52566	LIGO1_HUMAN	1	0	1	0	1	1	0	3	1	0	uniprot,surfy,hpa,deeptmhmm							surface	0.9461											0	0	0	0	0	0	0	0	SP+TM	human_canonical	Supported	1.0	0.0	0.0	0.0	supported		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane	GO:0005886	0.0	ENSG00000169783								1	
Q96FL8	SLC47A1	SLC47A1	exact	SLC47A1	18.560318	S47A1_HUMAN	1	1	1	0	0	1	0	3	1	0	uniprot,go,surfy,deeptmhmm	2	1.0	0.0	0.0	1.0	0.0	surface	0.6607											0	0	0	0	0	0	0	0	TM	human_canonical																												1	
Q96G91	P2RY11	P2RY11	exact	P2RY11	18.504356	P2Y11_HUMAN	1	0	1	1	0	1	0	3	1	0	uniprot,surfy,cspa,deeptmhmm							surface	0.8841	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	TM	human_canonical																												1	
Q96GP6	SCARF2	SCARF2	exact	SCARF2	17.660456	SREC2_HUMAN	1	0	1	1	0	1	0	3	1	0	uniprot,surfy,cspa,deeptmhmm							surface	0.8543	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical																												1	
Q96H15	TIMD4	TIMD4	exact	TIMD4	18.353542	TIMD4_HUMAN	1	0	1	0	1	1	0	3	1	0	uniprot,surfy,hpa,deeptmhmm							surface	0.8124											0	0	0	0	0	0	0	0	SP+TM	human_canonical	Approved	1.0	0.0	0.0	0.0	approved		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane	GO:0005886	0.0	ENSG00000145850	2.5	0.0	0.0	2.5	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000274532
Q96J42	TXNDC15	TXNDC15	exact	TXNDC15	17.599724	TXD15_HUMAN	1	0	1	1	0	1	0	3	1	0	uniprot,surfy,cspa,deeptmhmm	1	0.0	0.0	0.0	1.0	1.0	surface	0.6946	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical																												1	
Q96J66	ABCC11	ABCC11	exact	ABCC11	19.737183	MRP8_HUMAN	1	1	1	0	0	1	0	3	1	0	uniprot,go,surfy,deeptmhmm	1	1.0	0.0	0.0	1.0	0.0	surface	0.6727											0	0	0	0	0	0	0	0	TM	human_canonical																												1	
Q96J84	KIRREL1	KIRREL1	exact	KIRREL1	18.330526	KIRR1_HUMAN	1	0	1	1	0	1	0	3	1	0	uniprot,surfy,cspa,deeptmhmm	1	0.0	0.0	0.0	1.0	1.0	surface	0.9064	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical																												1	
Q96JJ7	TMX3	TMX3	exact	TMX3	17.460436		0	1	1	1	0	1	0	3	1	0	go,surfy,cspa,deeptmhmm	1	1.0	1.0	0.0	1.0	0.0	surface	0.8104	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical																												1	
Q96K78	ADGRG7	ADGRG7	exact	ADGRG7	18.407581	AGRG7_HUMAN	1	0	1	0	1	1	0	3	1	0	uniprot,surfy,hpa,deeptmhmm							surface	0.9514											0	0	0	0	0	0	0	0	TM	human_canonical	Approved	1.0	0.0	0.0	0.0	approved		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane	GO:0005886	0.0	ENSG00000144820								1	
Q96KJ4	MSLNL	MSLNL	exact	MSLNL	22.296711	MSLNL_HUMAN	1	1	1	0	0	0	0	3	1	0	uniprot,go,surfy	1	0.0	1.0	0.0	0.0	0.0	surface	0.7764											0	0	0	0	0	0	0	0	GLOB	human_canonical																												1	
Q96KV6	BTN2A3P	BTN2A3P	exact	BTN2A3P	8.597396	BT2A3_HUMAN	1	1	1	0	0	0	0	3	1	0	uniprot,go,surfy	1	0.0	1.0	0.0	0.0	0.0	surface	0.8224											0	0	0	0	0	0	0	0																														1	
Q96LA6	FCRL1	FCRL1	exact	FCRL1	20.353165	FCRL1_HUMAN	1	1	1	0	0	1	0	3	1	0	uniprot,go,surfy,deeptmhmm	2	1.0	1.0	0.0	1.0	0.0	surface	0.8044											0	0	0	0	0	0	0	0	SP+TM	human_canonical																												1	
Q96LB2	MRGPRX1	MRGPRX1	exact	MRGPRX1	23.46785	MRGX1_HUMAN	1	1	1	0	0	1	0	3	1	0	uniprot,go,surfy,deeptmhmm	1	0.0	1.0	0.0	0.0	0.0	surface	0.8543											0	0	0	0	0	0	0	0	TM	human_canonical																												1	
Q96MS0	ROBO3	ROBO3	exact	ROBO3	17.617865	ROBO3_HUMAN	1	0	1	0	1	1	0	3	1	0	uniprot,surfy,hpa,deeptmhmm							surface	0.8603											0	0	0	0	0	0	0	0	SP+TM	human_canonical	Approved	1.0	0.0	0.0	1.0	approved		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane;Vesicles	GO:0005886;GO:0043231	0.0	ENSG00000154134								1	
Q96N87	SLC6A18	SLC6A18	exact	SLC6A18	18.462902	S6A18_HUMAN	1	1	1	0	0	1	0	3	1	0	uniprot,go,surfy,deeptmhmm	2	0.0	0.0	1.0	1.0	0.0	surface	0.8623											0	0	0	0	0	0	0	0	TM	human_canonical																												1	
Q96NI6	LRFN5	LRFN5	exact	LRFN5	18.25167	LRFN5_HUMAN	1	1	1	0	0	1	0	3	1	0	uniprot,go,surfy,deeptmhmm	2	0.0	1.0	0.0	1.0	0.0	surface	0.9082											0	0	0	0	0	0	0	0	SP+TM	human_canonical																												1	
Q96NY8	NECTIN4	NECTIN4	exact	NECTIN4	18.39547	NECT4_HUMAN	1	0	1	0	1	1	0	3	1	0	uniprot,surfy,hpa,deeptmhmm							surface	0.9381											0	0	0	0	0	0	0	0	SP+TM	human_canonical	Supported	1.0	0.0	0.0	0.0	supported		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	Plasma membrane;Predicted to be secreted	GO:0005886	0.0	ENSG00000143217	2.339	0.0	0.0	2.339	0.0	GO:0005887,GO:0009986	0.0	1	ENSP00000356991
Q96P68	OXGR1	OXGR1	exact	OXGR1	18.771238	OXGR1_HUMAN	1	0	1	0	1	1	0	3	1	0	uniprot,surfy,hpa,deeptmhmm							surface	0.9128											0	0	0	0	0	0	0	0	TM	human_canonical	Supported	1.0	0.0	0.0	0.0	supported		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane	GO:0005886	0.0	ENSG00000165621								1	
Q96PJ5	FCRL4	FCRL4	exact	FCRL4	19.878626	FCRL4_HUMAN	1	1	1	0	0	1	0	3	1	0	uniprot,go,surfy,deeptmhmm	2	1.0	1.0	0.0	1.0	0.0	surface	0.9401											0	0	0	0	0	0	0	0	SP+TM	human_canonical																												1	
Q96PL5	ERMAP	ERMAP	exact	ERMAP	19.011774	ERMAP_HUMAN	1	1	1	0	0	1	0	3	1	0	uniprot,go,surfy,deeptmhmm	1	0.0	1.0	0.0	0.0	0.0	surface	0.8144											0	0	0	0	0	0	0	0	SP+TM	human_canonical																												1	
Q96PQ0	SORCS2	SORCS2	exact	SORCS2	17.588985	SORC2_HUMAN	1	0	1	1	0	1	0	3	1	0	uniprot,surfy,cspa,deeptmhmm	1	0.0	0.0	0.0	1.0	1.0	surface	0.8623	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical																												1	
Q96PQ1	SIGLEC12	SIGLEC12	exact	SIGLEC12	24.582977	SIG12_HUMAN	1	0	1	1	0	1	0	3	1	0	uniprot,surfy,cspa,deeptmhmm							surface	0.9681	1 - high confidence	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	SP+TM	human_canonical																												1	
Q96PX8	SLITRK1	SLITRK1	exact	SLITRK1	17.948128	SLIK1_HUMAN	1	1	1	0	0	1	0	3	1	0	uniprot,go,surfy,deeptmhmm	2	0.0	1.0	0.0	1.0	0.0	surface	0.9381											0	0	0	0	0	0	0	0	SP+TM	human_canonical																												1	
Q96Q91	SLC4A9	SLC4A9	exact	SLC4A9	18.298796	B3A4_HUMAN	1	1	0	0	1	0	0	3	1	0	uniprot,go,hpa	1	0.0	1.0	0.0	1.0	0.0													0	0	0	0	0	0	0	0			Approved	1.0	0.0	0.0	1.0	approved		0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	Cytosol;Plasma membrane;Vesicles	GO:0005829;GO:0005886;GO:0043231	0.0	ENSG00000113073								1	
Q96QD8	SLC38A2	SLC38A2	exact	SLC38A2	16.683292	S38A2_HUMAN	1	0	1	0	1	1	0	3	1	0	uniprot,surfy,hpa,deeptmhmm	1	0.0	0.0	0.0	1.0	1.0	surface	0.8383											0	0	0	0	0	0	0	0	TM	human_canonical	Supported	1.0	0.0	0.0	0.0	supported		0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma membrane	GO:0005886	0.0	ENSG00000134294								1	
